6315,13,Aalborg,57.0337,9.9166,Aalborg,AAL,Aalborg,Denmark
6314,13,Aarhus,56.1572,10.2107,Aarhus,AAR,Tirstrup,Denmark
7633,67,Abadan,30.3307,48.2797,Abadan,ABD,Abadan,Iran
7634,159,Abadan,30.3307,48.2797,Abadan,ABD,Abadan,Iran
2052,40,Abakan,53.7037,91.445,Abakan,ABA,Abakan,Russian Federation
5491,177,Abbotsford,49.0504,-122.3,Abbotsford,YXX,Abbotsford,Canada
1719,85,Abbottabad,34.1495,73.1995,Abbottabad,AAW,Mumbai,Pakistan
983,81,Male,4.1667,73.4999,Male,MLE,International,Maldives
6823,50,Aberdeen,57.1704,-2.08,Aberdeen,ABZ,Dyce,United Kingdom
6823,50,Aberdeen,57.1704,-2.08,Aberdeen,APG,Phillips AAF,United States
6823,50,Aberdeen,57.1704,-2.08,Aberdeen,ABR,Municipal,United States
9446,195,Aberdeen,35.1345,-79.4314,Aberdeen,ABZ,Dyce,United Kingdom
9446,195,Aberdeen,35.1345,-79.4314,Aberdeen,APG,Phillips AAF,United States
9446,195,Aberdeen,35.1345,-79.4314,Aberdeen,ABR,Municipal,United States
8195,195,Aberdeen,46.9768,-123.8083,Aberdeen,ABZ,Dyce,United Kingdom
8195,195,Aberdeen,46.9768,-123.8083,Aberdeen,APG,Phillips AAF,United States
8195,195,Aberdeen,46.9768,-123.8083,Aberdeen,ABR,Municipal,United States
11688,195,Aberdeen,39.5146,-76.1731,Aberdeen,ABZ,Dyce,United Kingdom
11688,195,Aberdeen,39.5146,-76.1731,Aberdeen,APG,Phillips AAF,United States
11688,195,Aberdeen,39.5146,-76.1731,Aberdeen,ABR,Municipal,United States
12912,195,Aberdeen,45.4647,-98.4678,Aberdeen,ABZ,Dyce,United Kingdom
12912,195,Aberdeen,45.4647,-98.4678,Aberdeen,APG,Phillips AAF,United States
12912,195,Aberdeen,45.4647,-98.4678,Aberdeen,ABR,Municipal,United States
2629,89,Abha,18.2301,42.5001,Abha,AHB,Abha,Saudi Arabia
2630,167,Abha,18.2301,42.5001,Abha,AHB,Abha,Saudi Arabia
9237,195,Abilene,32.4543,-99.7384,Abilene,DYS,Dyess AFB,United States
9237,195,Abilene,32.4543,-99.7384,Abilene,ABI,Municipal,United States
12563,195,Abilene,38.9229,-97.2247,Abilene,DYS,Dyess AFB,United States
12563,195,Abilene,38.9229,-97.2247,Abilene,ABI,Municipal,United States
8258,195,Abingdon,36.7089,-81.9711,Abingdon,ABB,RAF Station,United Kingdom
8258,195,Abingdon,36.7089,-81.9711,Abingdon,ABG,Abingdon,Australia
8258,195,Abingdon,36.7089,-81.9711,Abingdon,VJI,Virginia Highlands,United States
1005,131,Mwanza,-15.6167,34.5167,Mwanza,MWZ,Mwanza,Tanzania
3575,149,Mwanza,-2.52,32.93,Mwanza,MWZ,Mwanza,Tanzania
1007,131,Karonga,-9.9329,33.9333,Karonga,KGJ,Karonga,Malawi
1012,131,Blantyre,-15.79,34.9899,Blantyre,BLZ,Chileka,Malawi
1019,131,Mzuzu,-11.46,34.02,Mzuzu,ZZU,Mzuzu,Malawi
1334,139,Abuja,9.0833,7.5333,Abuja,ABV,International,Nigeria
1025,131,Kasungu,-13.0364,33.4822,Kasungu,KBQ,Kasungu,Malawi
1029,131,Lilongwe,-13.9833,33.7833,Lilongwe,LLW,Lilongwe International,Malawi
3877,207,Acarigua,9.5804,-69.2,Acarigua,AGV,Acarigua,Venezuela
1030,131,Mangochi,-14.4596,35.27,Mangochi,MAI,Mangochi,Malawi
6987,123,Accra,5.55,-0.2167,Accra,ACC,Kotoka,Ghana
2435,40,Achinsk,56.27,90.5,Achinsk,ACS,Achinsk,Russian Federation
1905,42,Ada,45.8027,20.1285,Ada,ADT,Ada,United States
11515,195,Ada,34.7683,-96.6689,Ada,ADT,Ada,United States
11880,195,Ada,40.768,-83.8252,Ada,ADT,Ada,United States
1040,188,Chetumal,18.5,-88.3,Chetumal,CTM,Chetumal,Mexico
3315,48,Adana,36.995,35.32,Adana,ADA,Adana,Turkey
3315,48,Adana,36.995,35.32,Adana,UAB,Adana-Incirlik Airbase,Turkey
3316,96,Adana,36.995,35.32,Adana,ADA,Adana,Turkey
3316,96,Adana,36.995,35.32,Adana,UAB,Adana-Incirlik Airbase,Turkey
3317,169,Adana,36.995,35.32,Adana,ADA,Adana,Turkey
3317,169,Adana,36.995,35.32,Adana,UAB,Adana-Incirlik Airbase,Turkey
1045,188,Mazatlan,23.2211,-106.42,Mazatlan,MZT,Gen Rafael Buelna,Mexico
1192,188,Mazatlan,29.0171,-110.1333,Mazatlan,MZT,Gen Rafael Buelna,Mexico
1046,188,Ciudad Victoria,23.72,-99.13,Ciudad Victoria,CVM,Ciudad Victoria,Mexico
1047,188,Mexicali,32.65,-115.48,Mexicali,MXL,Mexicali,Mexico
1048,188,Aguascalientes,21.8795,-102.2904,Aguascalientes,AGU,Aguascalients,Mexico
1049,188,Chihuahua,28.645,-106.085,Chihuahua,CUU,Gen Fierro Villalobos,Mexico
6606,120,Addis Ababa,9.0333,38.7,Addis Ababa,ADD,Bole,Ethiopia
4356,155,Adelaide,-34.935,138.6,Adelaide,ADL,Adelaide,Australia
4356,155,Adelaide,-34.935,138.6,Adelaide,XHX,Adelaide Keswick Rail,Australia
1053,188,Guadalajara,20.67,-103.33,Guadalajara,GDL,Miguel Hidal,Mexico
6555,45,Guadalajara,40.6337,-3.1666,Guadalajara,GDL,Miguel Hidal,Mexico
1054,188,Cuernavaca,18.9211,-99.24,Cuernavaca,CVJ,General Mariano Matamoros Airport,Mexico
1055,188,Monterrey,25.67,-100.33,Monterrey,MOY,Monterrey,Colombia
1055,188,Monterrey,25.67,-100.33,Monterrey,NTR,Aeropuerto Del Norte,Mexico
1055,188,Monterrey,25.67,-100.33,Monterrey,MTY,Gen Mariano Escobedo,Mexico
95,171,Aden,12.7797,45.0095,Aden,ADE,International,Yemen
