Aarhus,AAR,Tirstrup
Aalborg,AAL,Aalborg
Abadan,ABD,Abadan
Abakan,ABA,Abakan
Abbotsford,YXX,Abbotsford
Abbottabad,AAW,Mumbai
Male,MLE,International
Aberdeen,ABZ,Dyce
Aberdeen,APG,Phillips AAF
Aberdeen,ABR,Municipal
Abha,AHB,Abha
Abilene,DYS,Dyess AFB
Abilene,ABI,Municipal
Abingdon,ABB,RAF Station
Abingdon,ABG,Abingdon
Abingdon,VJI,Virginia Highlands
Mwanza,MWZ,Mwanza
Karonga,KGJ,Karonga
Blantyre,BLZ,Chileka
Mzuzu,ZZU,Mzuzu
Abuja,ABV,International
Kasungu,KBQ,Kasungu
Lilongwe,LLW,Lilongwe International
Acarigua,AGV,Acarigua
Mangochi,MAI,Mangochi
Accra,ACC,Kotoka
Achinsk,ACS,Achinsk
Ada,ADT,Ada
Chetumal,CTM,Chetumal
Adana,ADA,Adana
Adana,UAB,Adana-Incirlik Airbase
Mazatlan,MZT,Gen Rafael Buelna
Ciudad Victoria,CVM,Ciudad Victoria
Mexicali,MXL,Mexicali
Aguascalientes,AGU,Aguascalients
Chihuahua,CUU,Gen Fierro Villalobos
Addis Ababa,ADD,Bole
Adelaide,ADL,Adelaide
Adelaide,XHX,Adelaide Keswick Rail
Guadalajara,GDL,Miguel Hidal
Cuernavaca,CVJ,General Mariano Matamoros Airport
Monterrey,MOY,Monterrey
Monterrey,NTR,Aeropuerto Del Norte
Monterrey,MTY,Gen Mariano Escobedo
Aden,ADE,International
Lazaro Cardenas,LZC,Lazaro Cardenas
Adiyaman,ADF,Adiyaman
Adrar,AZR,Adrar
Eldorado,ELO,Eldorado
Adrian,ADG,Lenawee County
Merida,MID,Rejon
Merida,MRD,A Carnevalli
Guerrero Negro,GUB,Guerrero Negro
Durango,AMK,Animas Airpark
Durango,DRO,La Plata
Durango,DGO,Guadalupe Victoria
Afyon,AFY,Afyon
Agadir,AGA,Agadir Almassira
Colima,CLQ,Colima
Agartala,IXA,Singerbhil
Apatzingan,AZG,Apatzingan
Agen,AGF,La Garenne
Hermosillo,HMO,Gen Pesqueira Garcia
Culiacan,CUL,Fedl De Bachigualato
Mexico City,AZP,Atizapan
Mexico City,MEX,Juarez International
Mexico City,NLU,Santa Lucia
Agra,AGR,Kheria
Agri,AJI,Ağri
La Paz,LPB,El Alto
La Paz,LAP,Leon
Ahmedabad,AMD,Ahmedabad
Leon,LEN,Aeropuero de Bajio
Campeche,CPE,Campeche International
Aiken,AIK,Municipal
Lagos de Moreno,LOM,Francisco P. V. y R.
Los Mochis,LMM,Federal
Ensenada,ESE,Ensenada
Minatitlan,MTT,Minatitlan
Morelia,MLM,Morelia
Loreto,LTO,Loreto
Aizawl,AJL,Aizawl
Ajaccio,AJA,Campo Dell Oro
Manzanillo,MZO,Sierra Maestra
Manzanillo,ZLO,Manzanillo
Monclova,LOV,Monclova
Nogales,OLS,International
Nogales,NOG,Nogales
Akita,AXT,Akita
Akjoujt,AJJ,Akjoujt
Akola,AKD,Akola
Akron,AKO,Washington Co
Aksu,AKU,Aksu
Akure,AKR,Akure
Al Ghaydah,AAY,Al Ghaydah
Al Kharj,AKH,Prince Sultan Air Base
Atbasar,ATX,Atbasar
Alameda,NGZ,NAS
Alamogordo,HMN,Holloman AFB
Alamogordo,ALM,Municipal
Alamosa,ALS,Municipal
Albacete,ABC,Los Llanos
Albany,NAB,Albany NAS
Albany,ABY,Dougherty County
Albany,ALB,Albany International
Albany,ZLY,Albany NY Rail
Albany,CVO,Albany
Albany,ALH,Albany
Dhamar,DMR,Dhamar
Albert Lea,AEL,Albert Lea
Albina,ABN,Albina
Albuquerque,ABQ,Albuquerque International
Albury,ABX,Albury
Aldan,ADH,Aldan
Aleg,LEG,Aleg
Carnarvon,CVQ,Carnarvon
Alexander Bay,ALJ,Kortdoorn
Alenquer,ALT,Alenquer
Aleppo,ALP,Nejrab
Kimberley,YQE,Kimberley
Kimberley,KIM,Kimberley
Alert,YLT,Alert
Durban,DUR,Durban International
Durban,VIR,Virginia
Klerksdorp,KXE,Klerksdorp
Alexander City,ALX,Thomas C Russell Fld
Komatipoort,KOF,Komatipoort
Alexandria,HBE,Borg El Arab
Alexandria,ALY,El Nohza
Alexandria,AEX,Alexandria Internation
Alexandria,ESF,Esler Field
Alexandria,AXN,Alexandria
Alexandria,AXL,Alexandria
Nelspruit,NLP,Nelspruit International
Nelspruit,MQP,Kruger Mpumalanga
Johannesburg,GCJ,International
Johannesburg,HCS,Randburg Heliport
Johannesburg,QRA,Randgermiston
Kuruman,KMH,Kuruman
East London,ELS,East London
Mossel Bay,MZY,Mossel Bay
Algeciras,AEI,Algeciras
Cradock,CDO,Cradock
Algiers,ALG,Houari Boumediene
Algona,AXG,Algona
Ladysmith,LAY,Ladysmith
George,GRJ,George
Alicante,ALC,Alicante
